Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Prognosis and clinical characteristics of colorectal cancer patients with KRAS gene mutation: a 5-year follow-up study.","/pubmed/31933846","Yang D, Lai X, Xu F, Li Y, Jiang W, Ma D.","Int J Clin Exp Pathol. 2019 Feb 1;12(2):409-418. eCollection 2019.","Int J Clin Exp Pathol.  2019","PubMed","citation","PMID:31933846 | PMCID:PMC6945095","pubmed","31933846","create date:2020/01/15 | first author:Yang D",
"Impact of Single-organ Metastasis to the Liver or Lung and Genetic Mutation Status on Prognosis in Stage IV Colorectal Cancer.","/pubmed/31899147","Cavallaro P, Bordeianou L, Stafford C, Clark J, Berger D, Cusack J, Kunitake H, Francone T, Ricciardi R.","Clin Colorectal Cancer. 2019 Dec 10. pii: S1533-0028(19)30482-7. doi: 10.1016/j.clcc.2019.12.001. [Epub ahead of print]","Clin Colorectal Cancer.  2019","PubMed","citation","PMID:31899147","pubmed","31899147","create date:2020/01/04 | first author:Cavallaro P",
"Coaltered Ras/B-raf and TP53 Is Associated with Extremes of Survivorship and Distinct Patterns of Metastasis in Patients with Metastatic Colorectal Cancer.","/pubmed/31719050","Datta J, Smith JJ, Chatila WK, McAuliffe JC, Kandoth C, Vakiani E, Frankel TL, Ganesh K, Wasserman I, Lipsyc-Sharf M, Guillem J, Nash GM, Paty PB, Weiser MR, Saltz LB, Berger MF, Jarnagin WR, Balachandran V, Kingham TP, Kemeny NE, Cercek A, Garcia-Aguilar J, et al.","Clin Cancer Res. 2019 Nov 12. doi: 10.1158/1078-0432.CCR-19-2390. [Epub ahead of print]","Clin Cancer Res.  2019","PubMed","citation","PMID:31719050","pubmed","31719050","create date:2019/11/14 | first author:Datta J",
"Use of perioperative chemotherapy in colorectal cancer metastatic to the liver.","/pubmed/31687149","Symonds LK, Cohen SA.","Gastroenterol Rep (Oxf). 2019 Aug 21;7(5):301-311. doi: 10.1093/gastro/goz035. eCollection 2019 Oct. Review.","Gastroenterol Rep (Oxf).  2019","PubMed","citation","PMID:31687149 | PMCID:PMC6821343","pubmed","31687149","create date:2019/11/07 | first author:Symonds LK",
"RAS mutation: site of disease and recurrence pattern in colorectal cancer.","/pubmed/31597436","Bonnot PE, Passot G.","Chin Clin Oncol. 2019 Oct;8(5):55. doi: 10.21037/cco.2019.08.11.","Chin Clin Oncol.  2019","PubMed","citation","PMID:31597436","pubmed","31597436","create date:2019/10/11 | first author:Bonnot PE",
"The association of KRAS mutation with primary tumor location and survival in patients undergoing resection of colorectal cancers and synchronous liver metastases.","/pubmed/31500429","Allievi N, Goffredo P, Utria AF, Pisano M, Poiasina E, Lucianetti A, Zhou P, Hassan I.","Chin Clin Oncol. 2019 Oct;8(5):46. doi: 10.21037/cco.2019.08.10. Epub 2019 Sep 2.","Chin Clin Oncol.  2019","PubMed","citation","PMID:31500429","pubmed","31500429","create date:2019/09/11 | first author:Allievi N",
"Combination chemotherapy with TAS-102 plus bevacizumab in salvage-line treatment of metastatic colorectal cancer: A single-center, retrospective study examining the prognostic value of the modified Glasgow Prognostic Score in salvage-line therapy of metastatic colorectal cancer.","/pubmed/31475067","Matsuhashi N, Takahashi T, Fujii H, Suetsugu T, Fukada M, Iwata Y, Tokumaru Y, Imai T, Mori R, Tanahashi T, Matsui S, Imai H, Tanaka Y, Yamaguchi K, Futamura M, Yoshida K.","Mol Clin Oncol. 2019 Oct;11(4):390-396. doi: 10.3892/mco.2019.1899. Epub 2019 Jul 18.","Mol Clin Oncol.  2019","PubMed","citation","PMID:31475067 | PMCID:PMC6713946","pubmed","31475067","create date:2019/09/03 | first author:Matsuhashi N",
"Timing of Perioperative Chemotherapy Does Not Influence Long-Term Outcome of Patients Undergoing Combined Laparoscopic Colorectal and Liver Resection in Selected Upfront Resectable Synchronous Liver Metastases.","/pubmed/31451846","Ratti F, Fuks D, Cipriani F, Gayet B, Aldrighetti L.","World J Surg. 2019 Dec;43(12):3110-3119. doi: 10.1007/s00268-019-05142-4.","World J Surg.  2019","PubMed","citation","PMID:31451846","pubmed","31451846","create date:2019/08/28 | first author:Ratti F",
"Prognostic impact of K-RAS mutational status and primary tumor location in patients undergoing resection for colorectal cancer liver metastases: an update.","/pubmed/31426677","O Connor JM, Sanchez Loria F, Ardiles V, Grondona J, Sanchez P, Andriani O, Fauda M, Brancato F, Huertas E, Alvarez F, de Santibañes E.","Future Oncol. 2019 Sep;15(27):3149-3157. doi: 10.2217/fon-2019-0196. Epub 2019 Aug 20.","Future Oncol.  2019","PubMed","citation","PMID:31426677","pubmed","31426677","create date:2019/08/21 | first author:O Connor JM",
"Lung Metastasis Predicts Better Prognosis in Metastatic Colorectal Cancer With Mutated KRAS.","/pubmed/31324478","Margalit O, Shacham-Shmueli E, Lawrence YR, Yang YX, Reiss KA, Golan T, Mamtani R, Halpern N, Aderka D, Giantonio B, Boursi B.","Clin Colorectal Cancer. 2019 Sep;18(3):e300-e307. doi: 10.1016/j.clcc.2019.06.001. Epub 2019 Jun 26.","Clin Colorectal Cancer.  2019","PubMed","citation","PMID:31324478","pubmed","31324478","create date:2019/07/22 | first author:Margalit O",
"Malignant phyllodes tumor in Lynch syndrome: a case report.","/pubmed/31307558","Kazmi S, Wagner S, Heintzelman R, Corbman M.","J Med Case Rep. 2019 Jul 16;13(1):216. doi: 10.1186/s13256-019-2138-0.","J Med Case Rep.  2019","PubMed","citation","PMID:31307558 | PMCID:PMC6631613","pubmed","31307558","create date:2019/07/17 | first author:Kazmi S",
"Prognostic and predictive markers in liver limited stage IV colorectal cancer.","/pubmed/31279594","Rehman AH, Jones RP, Poston G.","Eur J Surg Oncol. 2019 Dec;45(12):2251-2256. doi: 10.1016/j.ejso.2019.06.038. Epub 2019 Jun 27. Review.","Eur J Surg Oncol.  2019","PubMed","citation","PMID:31279594","pubmed","31279594","create date:2019/07/08 | first author:Rehman AH",
"Prospective Biomarker Study in Advanced RAS Wild-Type Colorectal Cancer: POSIBA Trial (GEMCAD 10-02).","/pubmed/31235483","García-Albéniz X, Alonso V, Escudero P, Méndez M, Gallego J, Rodríguez JR, Salud A, Fernández-Plana J, Manzano H, Zanui M, Falcó E, Feliu J, Gil M, Fernández-Martos C, Bohn U, Alonso C, Calderero V, Rojo F, Cuatrecasas M, Maurel J.","Oncologist. 2019 Nov;24(11):e1115-e1122. doi: 10.1634/theoncologist.2018-0728. Epub 2019 Jun 24.","Oncologist.  2019","PubMed","citation","PMID:31235483 | PMCID:PMC6853109","pubmed","31235483","create date:2019/06/27 | first author:García-Albéniz X",
"[Case of Hyperammonemia Induced by High-Dose Fluorouracil].","/pubmed/31189842","Hagiwara A, Abe M, Mafune K, Saito M, Kusakabe A.","Gan To Kagaku Ryoho. 2019 May;46(Suppl 1):147-149. Japanese. ","Gan To Kagaku Ryoho.  2019","PubMed","citation","PMID:31189842","pubmed","31189842","create date:2019/06/14 | first author:Hagiwara A",
"[Long-Term Effectiveness of Chemotherapy Containing mFOLFOX6 plus Panitumumab and 5-FU/l-LV plus Panitumumab after Primary Tumor Resection in a Case of Ascending Colon Carcinoma and Multiple Hepatic Metastases].","/pubmed/31164512","Kitahama T, Gomyo Y, Okada I, Akita N, Ikeno T, Miyamoto H.","Gan To Kagaku Ryoho. 2019 Apr;46(4):709-712. Japanese. ","Gan To Kagaku Ryoho.  2019","PubMed","citation","PMID:31164512","pubmed","31164512","create date:2019/06/06 | first author:Kitahama T",
"Primary tumour location affects survival after resection of colorectal liver metastases: A two-institutional cohort study with international validation, systematic meta-analysis and a clinical risk score.","/pubmed/31150437","Gasser E, Braunwarth E, Riedmann M, Cardini B, Fadinger N, Presl J, Klieser E, Ellmerer P, Dupré A, Imai K, Malik H, Baba H, Ulmer H, Schneeberger S, Öfner D, Dinnewitzer A, Stättner S, Primavesi F.","PLoS One. 2019 May 31;14(5):e0217411. doi: 10.1371/journal.pone.0217411. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:31150437 | PMCID:PMC6544347","pubmed","31150437","create date:2019/06/01 | first author:Gasser E",
"Primary hepatic gastrointestinal stromal tumor with right adrenal gland invasion: A case report and systematic literature review.","/pubmed/31096446","Xu L, Zhang M, Xu M.","Medicine (Baltimore). 2019 May;98(20):e15482. doi: 10.1097/MD.0000000000015482.","Medicine (Baltimore).  2019","PubMed","citation","PMID:31096446 | PMCID:PMC6531123","pubmed","31096446","create date:2019/05/18 | first author:Xu L",
"The primary tumor location impacts survival outcome of colorectal liver metastases after hepatic resection: A systematic review and meta-analysis.","/pubmed/31054852","Liu W, Wang HW, Wang K, Xing BC.","Eur J Surg Oncol. 2019 Aug;45(8):1349-1356. doi: 10.1016/j.ejso.2019.04.017. Epub 2019 Apr 25. Review.","Eur J Surg Oncol.  2019","PubMed","citation","PMID:31054852","pubmed","31054852","create date:2019/05/06 | first author:Liu W",
"Partial response after treatment with Conversion chemotherapy: A case report of a patient with colon cancer and unresectable hepatic metastases.","/pubmed/31027071","Bu Z, Lu C, Yang X, Lai H, Jiang Y, Li Y, Lin Y, Qin Y, Xiao M, Cheng C, Liu Q.","Medicine (Baltimore). 2019 Apr;98(17):e15239. doi: 10.1097/MD.0000000000015239.","Medicine (Baltimore).  2019","PubMed","citation","PMID:31027071 | PMCID:PMC6831392","pubmed","31027071","create date:2019/04/28 | first author:Bu Z",
"Loss of LKB1 Protein Expression Correlates with Increased Risk of Recurrence and Death in Patients with Resected, Stage II or III Colon Cancer.","/pubmed/30913862","Sfakianaki M, Papadaki C, Tzardi M, Trypaki M, Alam S, Lagoudaki ED, Messaritakis I, Zoras O, Mavroudis D, Georgoulias V, Souglakos J.","Cancer Res Treat. 2019 Oct;51(4):1518-1526. doi: 10.4143/crt.2019.008. Epub 2019 Mar 20.","Cancer Res Treat.  2019","PubMed","citation","PMID:30913862 | PMCID:PMC6790836","pubmed","30913862","create date:2019/03/28 | first author:Sfakianaki M",
"A Case Presentation of a Patient with Microsatellite Instability and BRAF Mutant Metastatic Colon Cancer and Bibliography Update.","/pubmed/30911424","Thomopoulou K, Tzardi M, Mavroudis D, Souglakos I.","Case Rep Oncol Med. 2019 Feb 17;2019:4767019. doi: 10.1155/2019/4767019. eCollection 2019.","Case Rep Oncol Med.  2019","PubMed","citation","PMID:30911424 | PMCID:PMC6398041","pubmed","30911424","create date:2019/03/27 | first author:Thomopoulou K",
"BRAF V600E and SRC mutations as molecular markers for predicting prognosis and conversion surgery in Stage IV colorectal cancer.","/pubmed/30792536","Shimada Y, Muneoka Y, Nagahashi M, Ichikawa H, Tajima Y, Hirose Y, Ando T, Nakano M, Sakata J, Kameyama H, Takii Y, Ling Y, Okuda S, Takabe K, Wakai T.","Sci Rep. 2019 Feb 21;9(1):2466. doi: 10.1038/s41598-019-39328-6.","Sci Rep.  2019","PubMed","citation","PMID:30792536 | PMCID:PMC6384937","pubmed","30792536","create date:2019/02/23 | first author:Shimada Y",
"[A Case Report of Sigmoid Colon Cancer with a Synchronous Large Liver Metastasis Curatively Resected Following Multidisciplinary Therapy].","/pubmed/30692417","Suzuki Y, Mikamori M, Saito T, Furukawa K, Ohtsuka M, Kishi K, Tanemura M, Akamatsu H.","Gan To Kagaku Ryoho. 2018 Dec;45(13):1979-1981. Japanese. ","Gan To Kagaku Ryoho.  2018","PubMed","citation","PMID:30692417","pubmed","30692417","create date:2019/01/30 | first author:Suzuki Y",
"[A Case of Ascending Colon Cancer with Hepatic Metastases Showing Remarkable Efficacy of CapeOX plus Bevacizumab].","/pubmed/30692304","Shimojima Y, Yokomizo H, Okayama S, Yamada Y, Satake M, Yano Y, Asaka S, Usui T, Shiozawa S, Yoshimatsu K, Shimakawa T, Katsube T, Kato H, Naritaka Y.","Gan To Kagaku Ryoho. 2018 Dec;45(13):2120-2122. Japanese. ","Gan To Kagaku Ryoho.  2018","PubMed","citation","PMID:30692304","pubmed","30692304","create date:2019/01/30 | first author:Shimojima Y",
"Outcomes for Metastatic Colorectal Cancer Based on Microsatellite Instability: Results from the South Australian Metastatic Colorectal Cancer Registry.","/pubmed/30659494","Chong LC, Townsend AR, Young J, Roy A, Piantadosi C, Hardingham JE, Roder D, Karapetis C, Padbury R, Maddern G, Moore J, Price TJ.","Target Oncol. 2019 Feb;14(1):85-91. doi: 10.1007/s11523-018-0615-9.","Target Oncol.  2019","PubMed","citation","PMID:30659494","pubmed","30659494","create date:2019/01/20 | first author:Chong LC",
"Intrabiliary growth type of metastasis from colon cancer, 12 years after curative colectomy: a case report.","/pubmed/30658608","Sasaki S, Nomura Y, Fukutomi S, Shirahama N, Kusano H, Akiba J, Sakai H, Hisaka T, Nakashima O, Yano H, Akagi Y, Tanaka H, Okuda K.","BMC Surg. 2019 Jan 18;19(1):8. doi: 10.1186/s12893-018-0466-4.","BMC Surg.  2019","PubMed","citation","PMID:30658608 | PMCID:PMC6339384","pubmed","30658608","create date:2019/01/20 | first author:Sasaki S",
"[Perioperative treatment with FOLFIRI plus aflibercept in a patient with RAS and BRAF wild-type, left-sided colon cancer, with early relapse following adjuvant oxaliplatin- based treatment due to potentially resectable liver metastases].","/pubmed/30565584","Pietrantonio F.","Recenti Prog Med. 2018 Nov;109(11):24e-26e. doi: 10.1701/3031.30303. Italian. ","Recenti Prog Med.  2018","PubMed","citation","PMID:30565584","pubmed","30565584","create date:2018/12/20 | first author:Pietrantonio F",
"[Treatment with FOLFIRI plus aflibercept in a patient with RAS and BRAF wild-type, right-sided colon cancer and potentially resectable liver metastases].","/pubmed/30565583","Pietrantonio F.","Recenti Prog Med. 2018 Nov;109(11):20e-23e. doi: 10.1701/3031.30302. Italian. ","Recenti Prog Med.  2018","PubMed","citation","PMID:30565583","pubmed","30565583","create date:2018/12/20 | first author:Pietrantonio F",
"Patients with RAS wild-type right-sided unresectable liver-confined mCRC also benefit from cetuximab plus chemotherapy in first-line treatment.","/pubmed/30555748","Zheng P, Ren L, Feng Q, Zhu D, Chang W, He G, Ji M, Jian M, Lin Q, Yi T, Wei Y, Xu J.","Am J Cancer Res. 2018 Nov 1;8(11):2337-2345. eCollection 2018.","Am J Cancer Res.  2018","PubMed","citation","PMID:30555748 | PMCID:PMC6291650","pubmed","30555748","create date:2018/12/18 | first author:Zheng P",
"[Analyses of Relapsed Cases after Oxaliplatin-Based Adjuvant Chemotherapy for Colorectal Cancer with Cur A Resection].","/pubmed/30382064","Yoshimatsu K, Satake M, Sano M, Kodera A, Imaizumi R, Ito Y, Koike T, Yokomizo H, Yano Y, Okayama S, Yamada Y, Asaka S, Usui T, Yamaguchi K, Shiozawa S, Shimakawa T, Katsube T, Naritaka Y.","Gan To Kagaku Ryoho. 2018 Oct;45(10):1519-1520. Japanese. ","Gan To Kagaku Ryoho.  2018","PubMed","citation","PMID:30382064","pubmed","30382064","create date:2018/11/02 | first author:Yoshimatsu K",
"The Prognostic Impact of KRAS Mutation in Patients Having Curative Resection of Synchronous Colorectal Liver Metastases.","/pubmed/30276588","Goffredo P, Utria AF, Beck AC, Chun YS, Howe JR, Weigel RJ, Vauthey JN, Hassan I.","J Gastrointest Surg. 2019 Oct;23(10):1957-1963. doi: 10.1007/s11605-018-3978-4. Epub 2018 Oct 1.","J Gastrointest Surg.  2019","PubMed","citation","PMID:30276588","pubmed","30276588","create date:2018/10/03 | first author:Goffredo P",
"Surgical Resection for Recurrence After Two-Stage Hepatectomy for Colorectal Liver Metastases Is Feasible, Is Safe, and Improves Survival.","/pubmed/30084064","Lillemoe HA, Kawaguchi Y, Passot G, Karagkounis G, Simoneau E, You YN, Mehran RJ, Chun YS, Tzeng CD, Aloia TA, Vauthey JN.","J Gastrointest Surg. 2019 Jan;23(1):84-92. doi: 10.1007/s11605-018-3890-y. Epub 2018 Aug 6.","J Gastrointest Surg.  2019","PubMed","citation","PMID:30084064 | PMCID:PMC6329635","pubmed","30084064","create date:2018/08/08 | first author:Lillemoe HA",
"Fatal interstitial lung disease caused by Panitumumab-containing chemotherapy regimen.","/pubmed/30034518","Al-Asadi O, Almusarhed M, Rizvi SAJ, Saka W.","Ecancermedicalscience. 2018 Jun 7;12:841. doi: 10.3332/ecancer.2018.841. eCollection 2018.","Ecancermedicalscience.  2018","PubMed","citation","PMID:30034518 | PMCID:PMC6027982","pubmed","30034518","create date:2018/07/24 | first author:Al-Asadi O",
"Genomic alterations accompanying tumour evolution in colorectal cancer: tracking the differences between primary tumours and synchronous liver metastases by whole-exome sequencing.","/pubmed/30029640","Mogensen MB, Rossing M, Østrup O, Larsen PN, Heiberg Engel PJ, Jørgensen LN, Hogdall EV, Eriksen J, Ibsen P, Jess P, Grauslund M, Nielsen HJ, Nielsen FC, Vainer B, Osterlind K.","BMC Cancer. 2018 Jul 20;18(1):752. doi: 10.1186/s12885-018-4639-4.","BMC Cancer.  2018","PubMed","citation","PMID:30029640 | PMCID:PMC6053835","pubmed","30029640","create date:2018/07/22 | first author:Mogensen MB",
"First report of an Asian family with gastric adenocarcinoma and proximal polyposis of the stomach (GAPPS) revealed with the germline mutation of the APC exon 1B promoter region.","/pubmed/29968043","Mitsui Y, Yokoyama R, Fujimoto S, Kagemoto K, Kitamura S, Okamoto K, Muguruma N, Bando Y, Eguchi H, Okazaki Y, Ishida H, Takayama T.","Gastric Cancer. 2018 Nov;21(6):1058-1063. doi: 10.1007/s10120-018-0855-5. Epub 2018 Jul 2.","Gastric Cancer.  2018","PubMed","citation","PMID:29968043","pubmed","29968043","create date:2018/07/04 | first author:Mitsui Y",
"Consensus statement on essential patient characteristics in systemic treatment trials for metastatic colorectal cancer: Supported by the ARCAD Group.","/pubmed/29936065","Goey KKH, Sørbye H, Glimelius B, Adams RA, André T, Arnold D, Berlin JD, Bodoky G, de Gramont A, Díaz-Rubio E, Eng C, Falcone A, Grothey A, Heinemann V, Hochster HS, Kaplan RS, Kopetz S, Labianca R, Lieu CH, Meropol NJ, Price TJ, Schilsky RL, et al.","Eur J Cancer. 2018 Sep;100:35-45. doi: 10.1016/j.ejca.2018.05.010. Epub 2018 Jun 22.","Eur J Cancer.  2018","PubMed","citation","PMID:29936065","pubmed","29936065","create date:2018/06/25 | first author:Goey KKH",
"Anatomy of the Right Anterior Sector of the Liver and Its Clinical Implications in Surgery.","/pubmed/29916108","Cazauran JB, Pâris L, Rousset P, Mercier F, Kepenekian V, Viste A, Passot G.","J Gastrointest Surg. 2018 Oct;22(10):1819-1831. doi: 10.1007/s11605-018-3831-9. Epub 2018 Jun 18. Review.","J Gastrointest Surg.  2018","PubMed","citation","PMID:29916108","pubmed","29916108","create date:2018/06/20 | first author:Cazauran JB",
"Segment 7 Laparoscopic Liver Resection: Is It Possible to Resect When Metastatic Lesions Border Suprahepatic Veins?","/pubmed/29855869","Moisan F, Gayet B, Ward MA, Tabchouri N, Fuks D.","J Gastrointest Surg. 2018 Sep;22(9):1643-1644. doi: 10.1007/s11605-018-3824-8. Epub 2018 May 31.","J Gastrointest Surg.  2018","PubMed","citation","PMID:29855869","pubmed","29855869","create date:2018/06/02 | first author:Moisan F",
"Association of BRAF Mutations With Survival and Recurrence in Surgically Treated Patients With Metastatic Colorectal Liver Cancer.","/pubmed/29799910","Margonis GA, Buettner S, Andreatos N, Kim Y, Wagner D, Sasaki K, Beer A, Schwarz C, Løes IM, Smolle M, Kamphues C, He J, Pawlik TM, Kaczirek K, Poultsides G, Lønning PE, Cameron JL, Burkhart RA, Gerger A, Aucejo FN, Kreis ME, Wolfgang CL, et al.","JAMA Surg. 2018 Jul 18;153(7):e180996. doi: 10.1001/jamasurg.2018.0996. Epub 2018 Jul 18.","JAMA Surg.  2018","PubMed","citation","PMID:29799910 | PMCID:PMC6137519","pubmed","29799910","create date:2018/05/26 | first author:Margonis GA",
"Colorectal Liver Metastases: A Pathologist's Guide to Creating an Informative Report and Improving Patient Care.","/pubmed/29790787","Moreno Prats M, Sasatomi E, Stevenson HL.","Arch Pathol Lab Med. 2019 Feb;143(2):251-257. doi: 10.5858/arpa.2017-0505-RA. Epub 2018 May 23. Review.","Arch Pathol Lab Med.  2019","PubMed","citation","PMID:29790787","pubmed","29790787","create date:2018/05/24 | first author:Moreno Prats M",
"Promising New Agents for Colorectal Cancer.","/pubmed/29752549","Das S, Ciombor KK, Haraldsdottir S, Goldberg RM.","Curr Treat Options Oncol. 2018 May 11;19(6):29. doi: 10.1007/s11864-018-0543-z. Review.","Curr Treat Options Oncol.  2018","PubMed","citation","PMID:29752549 | PMCID:PMC6499928","pubmed","29752549","create date:2018/05/13 | first author:Das S",
"First-line molecular therapies in the treatment of metastatic colorectal cancer - a literature-based review of phases II and III trials.","/pubmed/31579770","Vogel A, Kirstein MM.","Innov Surg Sci. 2018 May 7;3(2):85-86. doi: 10.1515/iss-2018-0012. eCollection 2018 Jun. Review.","Innov Surg Sci.  2018","PubMed","citation","PMID:31579770 | PMCID:PMC6604573","pubmed","31579770","create date:2018/05/07 | first author:Vogel A",
"Is primary sidedness a prognostic factor in patients with resected colon cancer liver metastases (CLM)?","/pubmed/29611198","Marques MC, C Ribeiro HS, Costa WL Jr, de Jesus VHF, de Macedo MP, Diniz AL, Godoy AL, Farias IC, Aguiar S Jr, Riechelmann RSP, S Begnami MDF, Coimbra FJF.","J Surg Oncol. 2018 Apr;117(5):858-863. doi: 10.1002/jso.25048. Epub 2018 Apr 2.","J Surg Oncol.  2018","PubMed","citation","PMID:29611198","pubmed","29611198","create date:2018/04/04 | first author:Marques MC",
"The impact of primary tumour location in patients undergoing hepatic resection for colorectal liver metastasis.","/pubmed/29580735","Wang K, Xu D, Yan XL, Poston G, Xing BC.","Eur J Surg Oncol. 2018 Jun;44(6):771-777. doi: 10.1016/j.ejso.2018.02.210. Epub 2018 Mar 2.","Eur J Surg Oncol.  2018","PubMed","citation","PMID:29580735","pubmed","29580735","create date:2018/03/28 | first author:Wang K",
"Emergence of KRAS-mutation in liver metastases after an anti-EGFR treatment in patient with colorectal cancer: Are we aware of the therapeutic impact of intratumor heterogeneity?","/pubmed/29580164","Baretti M, Personeni N, Destro A, Santoro A, Rimassa L.","Cancer Biol Ther. 2018 Aug 3;19(8):659-663. doi: 10.1080/15384047.2018.1450117. Epub 2018 Apr 13.","Cancer Biol Ther.  2018","PubMed","citation","PMID:29580164 | PMCID:PMC6067891","pubmed","29580164","create date:2018/03/28 | first author:Baretti M",
"[A Case of Surgery after Chemotherapy for Cecal Cancer with Onset of the Stenosis of the Colostomy].","/pubmed/29483445","Kono T, Yokomizo H, Yano Y, Okayama S, Satake M, Yamada Y, Ida A, Usui T, Yamaguchi K, Shiozawa S, Yoshimatsu K, Shimakawa T, Katsube T, Kato H, Naritaka Y.","Gan To Kagaku Ryoho. 2018 Feb;45(2):353-355. Japanese. ","Gan To Kagaku Ryoho.  2018","PubMed","citation","PMID:29483445","pubmed","29483445","create date:2018/02/28 | first author:Kono T",
"[Two Cases of Colorectal Cancer with SRC Amplification].","/pubmed/29394766","Oyanagi H, Shimada Y, Yagi R, Tajima Y, Ichikawa H, Nakano M, Nakano M, Nagahashi M, Sakata J, Kameyama H, Kobayashi T, Nogami H, Maruyama S, Takii Y, Wakai T.","Gan To Kagaku Ryoho. 2017 Nov;44(12):1757-1759. Japanese. ","Gan To Kagaku Ryoho.  2017","PubMed","citation","PMID:29394766","pubmed","29394766","create date:2018/02/06 | first author:Oyanagi H",
"[A Patient Who Underwent Resection of Liver Metastases after Receiving Systemic Chemotherapy for Advanced Rectal Cancer and Multiple Liver Metastases].","/pubmed/29394695","Maruyama M, Nakamura T, Soeno T, Shimazu M, Tsutsui A, Tajima H, Miura H, Yamanashi T, Satoh T, Kumamoto Y, Watanabe M.","Gan To Kagaku Ryoho. 2017 Nov;44(12):1541-1543. Japanese. ","Gan To Kagaku Ryoho.  2017","PubMed","citation","PMID:29394695","pubmed","29394695","create date:2018/02/06 | first author:Maruyama M",
"[Two Cases of Achieving a Pathological Complete Response via Hepatic Arterial Infusion Chemotherapy for Liver-Limited and Unresectable Liver Metastases from Colorectal Cancer with RAS Mutations].","/pubmed/29394623","Hamanaka M, Noda M, Imada A, Song J, Kimura K, Babaya A, Kobayashi M, Tsukamoto K, Yamano T, Ikeda M, Tomita N.","Gan To Kagaku Ryoho. 2017 Nov;44(12):1329-1331. Japanese. ","Gan To Kagaku Ryoho.  2017","PubMed","citation","PMID:29394623","pubmed","29394623","create date:2018/02/06 | first author:Hamanaka M",
"[Two Cases of Colon Cancer with Severe Liver Dysfunction Due to Multiple Liver Metastases Effectively Treated with Hepatic Arterial Infusion Chemotherapy plus CetuximabFollowed by Systemic Chemotherapy].","/pubmed/29394595","Orita F, Ishikawa T, Sasaki M, Miura T, Tokura M, Hanaoka M, Yamauchi S, Kikuchi A, Ishiguro M, Yasuno M, Uetake H.","Gan To Kagaku Ryoho. 2017 Nov;44(12):1245-1247. Japanese. ","Gan To Kagaku Ryoho.  2017","PubMed","citation","PMID:29394595","pubmed","29394595","create date:2018/02/06 | first author:Orita F",
"[A Case of Ascending Colon Cancer with Synchronous Liver Metastases and Peritoneal Dissemination].","/pubmed/29394555","Mito M, Kameyama H, Shimada Y, Yamada S, Hotta S, Hirose Y, Yagi R, Tajima Y, Nakano M, Okamura T, Nakano M, Ichikawa H, Nagahashi M, Sakata J, Wakai T.","Gan To Kagaku Ryoho. 2017 Nov;44(12):1126-1128. Japanese. ","Gan To Kagaku Ryoho.  2017","PubMed","citation","PMID:29394555","pubmed","29394555","create date:2018/02/06 | first author:Mito M",
"Sebaceous tumours: more than skin deep.","/pubmed/29247065","Jockenhöfer F, Schimming TT, Schaller J, Moege J, Livingstone E, Salva KA, Zimmer L, Schadendorf D, Rösch A.","Gut. 2018 Nov;67(11):1957. doi: 10.1136/gutjnl-2017-315472. Epub 2017 Dec 15.","Gut.  2018","PubMed","citation","PMID:29247065","pubmed","29247065","create date:2017/12/17 | first author:Jockenhöfer F",
